block,plot,precipitation,species,replicate,func_group,life_history,first_flower_mean,early_late,forb_grass,gdd,first_flower,last_flower,first_fruit,last_fruit,peak_flower,peak_fruit,duration_flower,duration_fruit
1,2,-20,AP,3,C3,perennial,252,late,forb,3209,266,273,276,322,267,290,8,47
1,2,-20,AP,4,C3,perennial,252,late,forb,3209,238,284,266,266,253,290,47,1
1,3,-40,AP,2,C3,perennial,238,late,forb,3342.35,238,269,266,322,254,276,32,57
1,4,-60,AP,2,C3,perennial,236,late,forb,2838.3,234,269,262,322,253,285,36,61
1,4,-60,AP,4,C3,perennial,236,late,forb,2838.3,238,269,266,301,257,275,32,36
1,4,-60,AP,5,C3,perennial,236,late,forb,2838.3,238,290,269,280,242,274,53,12
1,5,0,AP,3,C3,perennial,238,late,forb,2620.1,238,266,273,322,250,288,29,50
1,6,-100,AP,1,C3,perennial,267,late,forb,1054.2,259,262,273,276,274,273,4,4
1,6,-100,AP,2,C3,perennial,267,late,forb,1054.2,276,276,273,290,295,275,1,18
2,8,-40,AP,1,C3,perennial,256,late,forb,3030.15,246,269,269,322,255,287,24,54
2,8,-40,AP,5,C3,perennial,256,late,forb,3030.15,266,269,269,322,265,287,4,54
2,10,-20,AP,4,C3,perennial,259,late,forb,3718.3,249,269,273,322,257,287,21,50
2,10,-20,AP,5,C3,perennial,259,late,forb,3718.3,269,276,287,322,273,301,8,36
2,11,50,AP,4,C3,perennial,242,late,forb,1505.85,238,287,276,290,257,287,50,15
2,11,50,AP,5,C3,perennial,242,late,forb,1505.85,246,255,266,308,249,275,10,43
2,12,-60,AP,1,C3,perennial,238,late,forb,2863.95,238,266,266,322,252,283,29,57
2,12,-60,AP,5,C3,perennial,238,late,forb,2863.95,238,290,266,308,259,275,53,43
3,15,-80,AP,2,C3,perennial,276,late,forb,3314.45,276,276,266,322,295,277,1,57
3,17,0,AP,2,C3,perennial,249,late,forb,2502.65,249,290,269,322,267,278,42,54
3,18,-20,AP,1,C3,perennial,245,late,forb,3443.4,238,287,266,322,258,272,50,57
3,18,-20,AP,2,C3,perennial,245,late,forb,3443.4,252,269,273,322,257,281,18,50
3,18,-20,AP,5,C3,perennial,245,late,forb,3443.4,246,266,266,322,255,278,21,57
3,20,50,AP,2,C3,perennial,256,late,forb,3062.15,266,269,273,290,265,276,4,18
3,20,50,AP,4,C3,perennial,256,late,forb,3062.15,246,266,262,262,255,283,21,1
3,21,-40,AP,5,C3,perennial,238,late,forb,3317.05,238,269,273,290,262,278,32,18
1,1,50,BI,1,C4,perennial,263,late,grass,3239.7,266,314,284,314,284,305,49,31
1,1,50,BI,2,C4,perennial,263,late,grass,3239.7,259,308,284,314,286,302,50,31
1,1,50,BI,3,C4,perennial,263,late,grass,3239.7,273,314,266,314,287,297,42,49
1,1,50,BI,4,C4,perennial,263,late,grass,3239.7,266,314,273,314,282,303,49,42
1,1,50,BI,5,C4,perennial,263,late,grass,3239.7,255,314,255,314,279,308,60,60
1,2,-20,BI,1,C4,perennial,273,late,grass,2804.7,273,322,290,322,284,299,50,33
1,2,-20,BI,2,C4,perennial,273,late,grass,2804.7,269,308,280,322,282,309,40,43
1,2,-20,BI,3,C4,perennial,273,late,grass,2804.7,273,314,287,314,289,310,42,28
1,2,-20,BI,4,C4,perennial,273,late,grass,2804.7,280,314,308,314,284,314,35,7
1,3,-40,BI,1,C4,perennial,259,late,grass,3670.65,259,314,273,314,281,295,56,42
1,3,-40,BI,2,C4,perennial,259,late,grass,3670.65,262,314,284,314,285,297,53,31
1,3,-40,BI,3,C4,perennial,259,late,grass,3670.65,259,314,269,314,284,284,56,46
1,3,-40,BI,4,C4,perennial,259,late,grass,3670.65,259,314,273,314,282,302,56,42
1,4,-60,BI,1,C4,perennial,259,late,grass,3320.45,259,314,266,314,295,278,56,49
1,6,-100,BI,1,C4,perennial,269,late,grass,1054.2,231,301,301,301,288,304,71,1
1,6,-100,BI,2,C4,perennial,269,late,grass,1054.2,308,308,308,308,306,306,1,1
2,8,-40,BI,1,C4,perennial,266,late,grass,3358.55,266,322,276,322,285,298,57,47
2,10,-20,BI,1,C4,perennial,200,late,grass,3318.95,206,314,234,314,282,285,109,81
2,10,-20,BI,2,C4,perennial,200,late,grass,3318.95,210,314,234,314,285,296,105,81
2,10,-20,BI,3,C4,perennial,200,late,grass,3318.95,196,314,234,314,274,285,119,81
2,10,-20,BI,4,C4,perennial,200,late,grass,3318.95,192,314,189,314,284,288,123,126
2,10,-20,BI,5,C4,perennial,200,late,grass,3318.95,196,314,234,314,282,287,119,81
1,4,-60,CF,1,C3,annual,203,early,forb,2249.25,203,234,206,231,215,217,32,26
1,5,0,CF,1,C3,annual,196,early,forb,1660.8,196,206,199,290,201,244,11,92
1,5,0,CF,2,C3,annual,196,early,forb,1660.8,192,213,199,290,199,246,22,92
1,5,0,CF,3,C3,annual,196,early,forb,1660.8,196,210,203,290,199,235,15,88
1,5,0,CF,4,C3,annual,196,early,forb,1660.8,203,269,206,308,206,243,67,103
1,5,0,CF,5,C3,annual,196,early,forb,1660.8,196,213,196,231,203,204,18,36
1,6,-100,CF,1,C3,annual,197,early,forb,1054.2,196,249,210,301,212,249,54,92
1,6,-100,CF,2,C3,annual,197,early,forb,1054.2,213,220,231,255,217,244,8,25
1,6,-100,CF,3,C3,annual,197,early,forb,1054.2,192,206,199,220,198,204,15,22
1,6,-100,CF,4,C3,annual,197,early,forb,1054.2,189,203,196,262,195,259,15,67
1,6,-100,CF,5,C3,annual,197,early,forb,1054.2,196,206,203,234,201,213,11,32
1,7,-80,CF,2,C3,annual,195,early,forb,1555.25,199,210,203,290,203,241,12,88
1,7,-80,CF,3,C3,annual,195,early,forb,1555.25,189,203,196,280,196,239,15,85
1,7,-80,CF,4,C3,annual,195,early,forb,1555.25,199,199,199,199,195,195,1,1
2,8,-40,CF,3,C3,annual,199,early,forb,1845.15,199,203,203,210,201,204,5,8
2,9,-80,CF,2,C3,annual,199,early,forb,1776.6,199,273,199,213,257,206,75,15
2,10,-20,CF,1,C3,annual,201,early,forb,2585.55,196,249,199,273,241,246,54,75
2,10,-20,CF,2,C3,annual,201,early,forb,2585.55,210,220,213,255,212,241,11,43
2,10,-20,CF,4,C3,annual,201,early,forb,2585.55,199,255,206,290,211,251,57,85
2,11,50,CF,1,C3,annual,201,early,forb,691.2,196,269,206,280,220,231,74,75
2,11,50,CF,2,C3,annual,201,early,forb,691.2,206,217,213,238,208,231,12,26
2,12,-60,CF,2,C3,annual,201,early,forb,2317,203,206,210,217,203,210,4,8
2,12,-60,CF,5,C3,annual,201,early,forb,2317,199,220,203,269,211,238,22,67
3,17,0,CF,1,C3,annual,206,early,forb,2182.55,206,217,206,276,213,243,12,71
3,18,-20,CF,2,C3,annual,206,early,forb,2246.65,206,280,210,301,243,266,75,92
3,19,-60,CF,3,C3,annual,252,early,forb,2025.3,252,287,262,301,284,290,36,40
3,20,50,CF,1,C3,annual,217,early,forb,2138.95,196,206,199,280,196,219,11,82
3,20,50,CF,2,C3,annual,217,early,forb,2138.95,238,259,217,322,248,271,22,106
3,21,-40,CF,3,C3,annual,203,early,forb,2180.25,203,206,210,210,203,213,4,1
1,1,50,CM,1,C3,annual,184,early,forb,1718.95,184,259,192,287,246,250,76,96
1,2,-20,CM,1,C3,annual,181,early,forb,1673.8,192,269,196,322,251,265,78,127
1,2,-20,CM,2,C3,annual,181,early,forb,1673.8,189,280,241,314,261,273,92,74
1,2,-20,CM,3,C3,annual,181,early,forb,1673.8,175,280,189,322,249,276,106,134
1,2,-20,CM,4,C3,annual,181,early,forb,1673.8,178,276,192,322,249,267,99,131
1,2,-20,CM,5,C3,annual,181,early,forb,1673.8,175,287,189,322,250,265,113,134
1,3,-40,CM,1,C3,annual,196,early,forb,1817.85,175,287,192,322,243,273,113,131
1,3,-40,CM,2,C3,annual,196,early,forb,1817.85,182,269,192,322,217,266,88,131
1,3,-40,CM,3,C3,annual,196,early,forb,1817.85,189,259,192,259,245,250,71,68
1,3,-40,CM,4,C3,annual,196,early,forb,1817.85,184,273,189,322,262,274,90,134
1,3,-40,CM,5,C3,annual,196,early,forb,1817.85,252,269,249,290,259,274,18,42
1,4,-60,CM,1,C3,annual,183,early,forb,1574.25,182,301,192,322,246,260,120,131
1,4,-60,CM,2,C3,annual,183,early,forb,1574.25,182,269,199,322,240,265,88,124
1,4,-60,CM,3,C3,annual,183,early,forb,1574.25,196,269,196,322,243,260,74,127
1,4,-60,CM,4,C3,annual,183,early,forb,1574.25,182,269,203,322,234,260,88,120
1,4,-60,CM,5,C3,annual,183,early,forb,1574.25,175,269,189,322,228,258,95,134
1,5,0,CM,1,C3,annual,186,early,forb,1522.4,189,269,206,322,213,266,81,117
1,5,0,CM,2,C3,annual,186,early,forb,1522.4,184,269,178,322,247,268,86,145
1,5,0,CM,3,C3,annual,186,early,forb,1522.4,189,269,196,322,223,269,81,127
1,5,0,CM,4,C3,annual,186,early,forb,1522.4,189,269,206,322,227,262,81,117
1,5,0,CM,5,C3,annual,186,early,forb,1522.4,182,266,217,290,229,263,85,74
1,6,-100,CM,1,C3,annual,183,early,forb,1054.2,178,234,196,322,211,253,57,127
1,6,-100,CM,4,C3,annual,183,early,forb,1054.2,182,217,192,290,203,244,36,99
1,6,-100,CM,5,C3,annual,183,early,forb,1054.2,189,220,199,290,206,243,32,92
1,7,-80,CM,1,C3,annual,200,early,forb,1413.75,175,269,189,308,205,258,95,120
1,7,-80,CM,2,C3,annual,200,early,forb,1413.75,189,269,203,308,224,264,81,106
1,7,-80,CM,3,C3,annual,200,early,forb,1413.75,210,287,217,308,257,270,78,92
1,7,-80,CM,4,C3,annual,200,early,forb,1413.75,182,269,192,308,243,259,88,117
1,7,-80,CM,5,C3,annual,200,early,forb,1413.75,246,269,246,308,262,269,24,63
2,8,-40,CM,2,C3,annual,186,early,forb,1481.65,203,287,246,322,258,274,85,77
2,8,-40,CM,4,C3,annual,186,early,forb,1481.65,182,273,192,322,247,266,92,131
2,8,-40,CM,5,C3,annual,186,early,forb,1481.65,175,273,246,290,257,268,99,45
2,9,-80,CM,1,C3,annual,186,early,forb,1733.65,182,269,196,322,209,266,88,127
2,9,-80,CM,2,C3,annual,186,early,forb,1733.65,184,269,199,322,236,262,86,124
2,9,-80,CM,4,C3,annual,186,early,forb,1733.65,189,269,192,301,213,251,81,110
2,9,-80,CM,5,C3,annual,186,early,forb,1733.65,192,269,206,322,243,259,78,117
2,10,-20,CM,1,C3,annual,194,early,forb,2227.1,189,269,199,322,248,264,81,124
2,10,-20,CM,2,C3,annual,194,early,forb,2227.1,199,269,203,322,220,269,71,120
3,15,-80,CM,1,C3,annual,178,early,forb,1350.6,182,259,203,259,203,238,78,57
3,15,-80,CM,2,C3,annual,178,early,forb,1350.6,175,287,220,322,256,276,113,103
3,15,-80,CM,3,C3,annual,178,early,forb,1350.6,182,269,192,322,241,268,88,131
3,15,-80,CM,4,C3,annual,178,early,forb,1350.6,178,287,192,322,257,272,110,131
3,15,-80,CM,5,C3,annual,178,early,forb,1350.6,175,269,192,322,232,271,95,131
3,16,-100,CM,1,C3,annual,184,early,forb,1627.45,192,213,206,269,203,236,22,64
3,16,-100,CM,2,C3,annual,184,early,forb,1627.45,175,220,192,269,184,204,46,78
3,16,-100,CM,3,C3,annual,184,early,forb,1627.45,189,234,203,249,202,220,46,47
3,16,-100,CM,4,C3,annual,184,early,forb,1627.45,189,246,192,290,199,234,58,99
3,16,-100,CM,5,C3,annual,184,early,forb,1627.45,175,246,192,322,197,257,72,131
3,17,0,CM,1,C3,annual,195,early,forb,1993.3,182,273,217,322,254,269,92,106
3,17,0,CM,2,C3,annual,195,early,forb,1993.3,182,273,210,290,254,267,92,81
3,17,0,CM,3,C3,annual,195,early,forb,1993.3,241,269,231,290,246,267,29,60
3,17,0,CM,4,C3,annual,195,early,forb,1993.3,182,273,192,322,242,259,92,131
3,17,0,CM,5,C3,annual,195,early,forb,1993.3,189,273,206,314,244,262,85,109
3,18,-20,CM,1,C3,annual,192,early,forb,1884.85,249,290,266,322,266,285,42,57
3,18,-20,CM,2,C3,annual,192,early,forb,1884.85,175,287,192,322,244,267,113,131
3,18,-20,CM,3,C3,annual,192,early,forb,1884.85,182,290,192,322,260,275,109,131
3,18,-20,CM,4,C3,annual,192,early,forb,1884.85,175,290,184,322,253,268,116,139
3,18,-20,CM,5,C3,annual,192,early,forb,1884.85,182,273,178,322,249,269,92,145
3,19,-60,CM,1,C3,annual,189,early,forb,1453.1,182,314,199,314,257,269,133,116
3,19,-60,CM,2,C3,annual,189,early,forb,1453.1,203,273,217,322,248,274,71,106
3,19,-60,CM,3,C3,annual,189,early,forb,1453.1,192,287,217,322,255,273,96,106
3,19,-60,CM,4,C3,annual,189,early,forb,1453.1,189,217,203,234,206,216,29,32
3,19,-60,CM,5,C3,annual,189,early,forb,1453.1,182,276,182,314,254,267,95,133
3,20,50,CM,1,C3,annual,195,early,forb,1806.1,203,273,182,308,252,267,71,127
3,20,50,CM,2,C3,annual,195,early,forb,1806.1,178,287,196,308,250,267,110,113
3,20,50,CM,3,C3,annual,195,early,forb,1806.1,175,287,196,308,247,265,113,113
3,20,50,CM,4,C3,annual,195,early,forb,1806.1,206,269,220,322,245,269,64,103
3,20,50,CM,5,C3,annual,195,early,forb,1806.1,217,262,241,290,246,264,46,50
3,21,-40,CM,1,C3,annual,175,early,forb,1808.55,175,287,192,322,238,271,113,131
3,21,-40,CM,2,C3,annual,175,early,forb,1808.55,175,276,196,322,231,272,102,127
3,21,-40,CM,3,C3,annual,175,early,forb,1808.55,175,290,196,322,256,274,116,127
3,21,-40,CM,4,C3,annual,175,early,forb,1808.55,175,287,192,322,245,268,113,131
3,21,-40,CM,5,C3,annual,175,early,forb,1808.55,175,287,192,322,249,271,113,131
1,1,50,CS,1,C3,perennial,139,early,forb,766.95,143,143,147,168,152,161,1,22
1,1,50,CS,3,C3,perennial,139,early,forb,766.95,136,154,154,171,150,159,19,18
1,2,-20,CS,1,C3,perennial,143,early,forb,1045.55,150,171,147,168,168,156,22,22
1,2,-20,CS,2,C3,perennial,143,early,forb,1045.55,136,136,147,150,227,147,1,4
1,3,-40,CS,1,C3,perennial,143,early,forb,999,150,150,150,182,232,162,1,33
1,3,-40,CS,2,C3,perennial,143,early,forb,999,150,150,154,178,232,167,1,25
1,3,-40,CS,3,C3,perennial,143,early,forb,999,136,171,147,182,147,160,36,36
1,3,-40,CS,4,C3,perennial,143,early,forb,999,136,154,147,199,148,163,19,53
1,3,-40,CS,5,C3,perennial,143,early,forb,999,143,154,147,196,147,162,12,50
1,6,-100,CS,1,C3,perennial,133,early,forb,617.85,133,168,147,231,147,172,36,85
1,6,-100,CS,2,C3,perennial,133,early,forb,617.85,133,175,143,322,148,182,43,180
1,6,-100,CS,3,C3,perennial,133,early,forb,617.85,133,203,147,322,147,188,71,176
1,6,-100,CS,4,C3,perennial,133,early,forb,617.85,133,217,147,259,189,180,85,113
1,6,-100,CS,5,C3,perennial,133,early,forb,617.85,136,175,143,217,147,168,40,75
2,8,-40,CS,2,C3,perennial,149,early,forb,1033.1,158,168,147,322,164,196,11,176
2,8,-40,CS,3,C3,perennial,149,early,forb,1033.1,147,154,143,171,150,158,8,29
2,8,-40,CS,4,C3,perennial,149,early,forb,1033.1,143,154,143,210,147,169,12,68
2,10,-20,CS,1,C3,perennial,143,early,forb,1444.6,143,154,147,178,146,162,12,32
